grid_row,grid_col,center_y,center_x,reference_zncc,candidate_zncc,delta_zncc,classification
0,13,96.0,2587.4324324324325,0.39241064582238855,0.4147652432354815,0.022354597413092925,improved
0,14,96.0,2779.0810810810813,0.3257964346212625,0.3246747264382839,-0.0011217081829786313,worse
0,15,96.0,2970.7297297297296,0.4065336278650907,0.39783132060171456,-0.008702307263376119,worse
0,16,96.0,3162.3783783783783,0.3525495646230463,0.3436870579511368,-0.00886250667190952,worse
0,17,96.0,3354.027027027027,0.3522786242226975,0.3533498489177951,0.0010712246950975723,improved
0,18,96.0,3545.675675675676,0.48467279706119004,0.487999652896058,0.00332685583486797,improved
0,19,96.0,3737.324324324324,0.3443695594213121,0.3693589599820757,0.024989400560763597,improved
0,20,96.0,3928.972972972973,0.2989205870638881,0.3416247996755654,0.04270421261167734,improved
0,21,96.0,4120.621621621622,0.39476703346924147,0.42425510315271253,0.029488069683471063,improved
0,22,96.0,4312.27027027027,0.3735912416621195,0.35383205342917395,-0.019759188232945535,worse
0,23,96.0,4503.918918918919,0.43100905164445086,0.38182783205370335,-0.049181219590747505,worse
0,24,96.0,4695.5675675675675,0.34863117147288,0.30352655269476697,-0.045104618778113004,worse
1,11,286.7083333333333,2204.135135135135,0.4437030604707763,0.472457762632783,0.028754702162006707,improved
1,12,286.7083333333333,2395.7837837837837,0.46468327202361454,0.49394968372279785,0.029266411699183315,improved
1,13,286.7083333333333,2587.4324324324325,0.33719972619638766,0.33591147426265844,-0.001288251933729223,worse
1,14,286.7083333333333,2779.0810810810813,0.4052633932112993,0.40140050441735625,-0.003862888793943031,worse
1,15,286.7083333333333,2970.7297297297296,0.3869412201937109,0.3851794989389296,-0.001761721254781301,worse
1,16,286.7083333333333,3162.3783783783783,0.40569081963271414,0.41328489448887556,0.007594074856161426,improved
1,17,286.7083333333333,3354.027027027027,0.6178790571752734,0.6200240603343218,0.0021450031590484198,improved
1,18,286.7083333333333,3545.675675675676,0.5337835235304706,0.5493937612290769,0.015610237698606255,improved
1,19,286.7083333333333,3737.324324324324,0.28207088011952985,0.34850335605391064,0.06643247593438079,improved
1,20,286.7083333333333,3928.972972972973,0.24863318253994512,0.28134947884354156,0.03271629630359643,improved
1,21,286.7083333333333,4120.621621621622,0.33342163684750714,0.343744290891562,0.010322654044054858,improved
1,22,286.7083333333333,4312.27027027027,0.42342214815664564,0.40996459297899257,-0.013457555177653069,worse
1,23,286.7083333333333,4503.918918918919,0.5465601227926943,0.5425881596963916,-0.003971963096302655,worse
1,24,286.7083333333333,4695.5675675675675,0.6639276984942769,0.6448373646098717,-0.019090333884405175,worse
1,25,286.7083333333333,4887.216216216216,0.3181318576423285,0.27439714619758326,-0.04373471144474522,worse
1,26,286.7083333333333,5078.864864864865,0.2425464287899318,0.21389372262082318,-0.028652706169108616,worse
1,27,286.7083333333333,5270.513513513513,0.36978710560829914,0.3391685854557095,-0.030618520152589646,worse
2,10,477.4166666666667,2012.4864864864865,0.4849085011967746,0.49534839474658154,0.010439893549806956,improved
2,11,477.4166666666667,2204.135135135135,0.41939611990104336,0.43978756601541064,0.020391446114367273,improved
2,12,477.4166666666667,2395.7837837837837,0.4808793493715657,0.4867076256890442,0.005828276317478509,improved
2,13,477.4166666666667,2587.4324324324325,0.6037336710125756,0.5984929089051083,-0.005240762107467267,worse
2,14,477.4166666666667,2779.0810810810813,0.6181103423714448,0.6171038758286873,-0.0010064665427574893,worse
2,15,477.4166666666667,2970.7297297297296,0.5945472027046104,0.600592505878865,0.006045303174254668,improved
2,16,477.4166666666667,3162.3783783783783,0.6488482647061264,0.660596725714343,0.011748461008216582,improved
2,17,477.4166666666667,3354.027027027027,0.6234409224879992,0.6275282215468239,0.004087299058824656,improved
2,18,477.4166666666667,3545.675675675676,0.43460104134994454,0.4366074175959818,0.002006376246037278,improved
2,19,477.4166666666667,3737.324324324324,0.2940469491692886,0.3174243260571795,0.023377376887890933,improved
2,20,477.4166666666667,3928.972972972973,0.24704951099153838,0.25317588717116857,0.0061263761796301885,improved
2,21,477.4166666666667,4120.621621621622,0.29410173726803013,0.29807072430959275,0.003968987041562622,improved
2,22,477.4166666666667,4312.27027027027,0.3630845047783348,0.36012216909070816,-0.0029623356876266604,worse
2,23,477.4166666666667,4503.918918918919,0.48266867564421356,0.4894543139443116,0.00678563830009804,improved
2,24,477.4166666666667,4695.5675675675675,0.5749096645295639,0.5722702597215326,-0.002639404808031376,worse
2,25,477.4166666666667,4887.216216216216,0.45281563759975296,0.4473249786967082,-0.005490658903044787,worse
2,26,477.4166666666667,5078.864864864865,0.4171925333971577,0.4060235646924162,-0.011168968704741544,worse
2,27,477.4166666666667,5270.513513513513,0.380121954495401,0.37142963819169794,-0.00869231630370304,worse
2,28,477.4166666666667,5462.1621621621625,0.3850309512988496,0.3822824628438928,-0.0027484884549568434,worse
2,29,477.4166666666667,5653.810810810811,0.3917871786588788,0.40447412589462844,0.012686947235749646,improved
3,8,668.125,1629.1891891891892,0.3937470680518326,0.40064707673753036,0.006900008685697734,improved
3,9,668.125,1820.837837837838,0.2935290119342244,0.2995737322628233,0.006044720328598874,improved
3,10,668.125,2012.4864864864865,0.37197545579299596,0.37406789623318387,0.002092440440187915,improved
3,11,668.125,2204.135135135135,0.33622574494866814,0.34435473116623927,0.008128986217571132,improved
3,12,668.125,2395.7837837837837,0.442094867814097,0.44809399093337754,0.005999123119280525,improved
3,13,668.125,2587.4324324324325,0.4448916935111878,0.45420735486993447,0.009315661358746674,improved
3,14,668.125,2779.0810810810813,0.36759515261058556,0.38078329182764276,0.013188139217057193,improved
3,15,668.125,2970.7297297297296,0.46297103060112854,0.4659018931493269,0.002930862548198354,improved
3,16,668.125,3162.3783783783783,0.4332874180115696,0.43401606578741686,0.0007286477758472465,improved
3,17,668.125,3354.027027027027,0.3132888325122419,0.31096217276805593,-0.002326659744185944,worse
3,18,668.125,3545.675675675676,0.3538251240683753,0.34529704164880703,-0.008528082419568261,worse
3,19,668.125,3737.324324324324,0.3475082302198121,0.3359743441407031,-0.01153388607910899,worse
3,20,668.125,3928.972972972973,0.2509185379370057,0.24330661359124411,-0.007611924345761578,worse
3,21,668.125,4120.621621621622,0.2730912385332709,0.2848205257763634,0.011729287243092523,improved
3,22,668.125,4312.27027027027,0.3597979235453402,0.35712016038613725,-0.0026777631592029283,worse
3,23,668.125,4503.918918918919,0.3921777085595348,0.400305194382866,0.00812748582333117,improved
3,24,668.125,4695.5675675675675,0.43907750130574336,0.4372633269899532,-0.0018141743157901735,worse
3,25,668.125,4887.216216216216,0.4356399671248384,0.43223363179441715,-0.0034063353304212285,worse
3,26,668.125,5078.864864864865,0.49099927088640744,0.4873891538558659,-0.0036101170305415375,worse
3,27,668.125,5270.513513513513,0.47197265473542765,0.47313353706474964,0.0011608823293219883,improved
3,28,668.125,5462.1621621621625,0.3344290300399496,0.3348045301748875,0.00037550013493786727,improved
3,29,668.125,5653.810810810811,0.3573822702315144,0.3619287330572249,0.004546462825710473,improved
3,30,668.125,5845.459459459459,0.5225793140787063,0.5215087444773453,-0.0010705696013609822,worse
4,7,858.8333333333334,1437.5405405405406,0.4513343687085769,0.44880226049207866,-0.002532108216498241,worse
4,8,858.8333333333334,1629.1891891891892,0.434999915282746,0.43778995624556494,0.0027900409628189293,improved
4,9,858.8333333333334,1820.837837837838,0.35833307137705517,0.36110099617593017,0.002767924798874999,improved
4,10,858.8333333333334,2012.4864864864865,0.3269529350908493,0.32324045124051715,-0.0037124838503321267,worse
4,11,858.8333333333334,2204.135135135135,0.31037232670692066,0.31076319665437946,0.000390869947458794,improved
4,12,858.8333333333334,2395.7837837837837,0.415648251762112,0.4213203298895962,0.005672078127484215,improved
4,13,858.8333333333334,2587.4324324324325,0.4742698403168136,0.4776690569982303,0.003399216681416739,improved
4,14,858.8333333333334,2779.0810810810813,0.3886231483840494,0.40188006141968685,0.013256913035637474,improved
4,15,858.8333333333334,2970.7297297297296,0.3738010204233079,0.3801510265954483,0.006350006172140432,improved
4,16,858.8333333333334,3162.3783783783783,0.3078368301322485,0.310251704170109,0.002414874037860504,improved
4,17,858.8333333333334,3354.027027027027,0.26709512529575447,0.26386739081899796,-0.0032277344767565053,worse
4,18,858.8333333333334,3545.675675675676,0.32866858528465603,0.3305910001454819,0.0019224148608258385,improved
4,19,858.8333333333334,3737.324324324324,0.3159119794813694,0.30800230965495895,-0.007909669826410448,worse
4,20,858.8333333333334,3928.972972972973,0.2928347033198613,0.27053407911800215,-0.02230062420185913,worse
4,21,858.8333333333334,4120.621621621622,0.2996744269131461,0.3031692651398828,0.003494838226736685,improved
4,22,858.8333333333334,4312.27027027027,0.3835236323995106,0.3915699749986868,0.008046342599176193,improved
4,23,858.8333333333334,4503.918918918919,0.36038680804278456,0.36682697878862197,0.006440170745837415,improved
4,24,858.8333333333334,4695.5675675675675,0.4427727893154163,0.44088356371289333,-0.0018892256025229703,worse
4,25,858.8333333333334,4887.216216216216,0.37696069202573773,0.3762772440870427,-0.0006834479386950143,worse
4,26,858.8333333333334,5078.864864864865,0.4320509314649359,0.4290875960897556,-0.002963335375180287,worse
4,27,858.8333333333334,5270.513513513513,0.41555598528257676,0.4091293500725778,-0.0064266352099989765,worse
4,28,858.8333333333334,5462.1621621621625,0.34186703142244523,0.34539015100011855,0.003523119577673317,improved
4,29,858.8333333333334,5653.810810810811,0.45227997439373374,0.4562222806536984,0.0039423062599646674,improved
4,30,858.8333333333334,5845.459459459459,0.45782693549540754,0.45694170634698167,-0.0008852291484258701,worse
4,31,858.8333333333334,6037.108108108108,0.4399225927951701,0.44542769388724546,0.00550510109207536,improved
5,6,1049.5416666666667,1245.8918918918919,0.3970958438294678,0.405433543793762,0.008337699964294232,improved
5,7,1049.5416666666667,1437.5405405405406,0.483693692887944,0.47916698249058237,-0.004526710397361633,worse
5,8,1049.5416666666667,1629.1891891891892,0.5185426843888967,0.5147803398085296,-0.003762344580367172,worse
5,9,1049.5416666666667,1820.837837837838,0.4249487825701825,0.42439575324472845,-0.0005530293254540353,worse
5,10,1049.5416666666667,2012.4864864864865,0.3711793622969248,0.3609853313566549,-0.010194030940269883,worse
5,11,1049.5416666666667,2204.135135135135,0.3288552843230502,0.32412774809476474,-0.004727536228285478,worse
5,12,1049.5416666666667,2395.7837837837837,0.3820024277223157,0.38202417861236276,2.175089004707864e-05,unchanged
5,13,1049.5416666666667,2587.4324324324325,0.49871945030557446,0.5003628060180805,0.0016433557125060116,improved
5,14,1049.5416666666667,2779.0810810810813,0.35523383114371926,0.3568350049642748,0.0016011738205555237,improved
5,15,1049.5416666666667,2970.7297297297296,0.35311075920567403,0.35280282260067675,-0.00030793660499728315,worse
5,16,1049.5416666666667,3162.3783783783783,0.34191646859753083,0.344385996608653,0.0024695280111221574,improved
5,17,1049.5416666666667,3354.027027027027,0.3443514609269918,0.3432169391939994,-0.0011345217329923885,worse
5,18,1049.5416666666667,3545.675675675676,0.35063736124926204,0.34970443701236237,-0.0009329242368996682,worse
5,19,1049.5416666666667,3737.324324324324,0.35166233925153967,0.3501744511725472,-0.001487888078992472,worse
5,20,1049.5416666666667,3928.972972972973,0.2878429783907832,0.2623163464778527,-0.02552663191293053,worse
5,21,1049.5416666666667,4120.621621621622,0.3264580147887585,0.3189124011685947,-0.007545613620163816,worse
5,22,1049.5416666666667,4312.27027027027,0.35827940836960454,0.3588461506342453,0.0005667422646407627,improved
5,23,1049.5416666666667,4503.918918918919,0.32313259081938117,0.31660941412967936,-0.006523176689701815,worse
5,24,1049.5416666666667,4695.5675675675675,0.48442916256692037,0.4818426226414145,-0.002586539925505893,worse
5,25,1049.5416666666667,4887.216216216216,0.5839260140750899,0.5873127439960084,0.0033867299209184853,improved
5,26,1049.5416666666667,5078.864864864865,0.5678093251751337,0.5669092762069509,-0.0009000489681828538,worse
5,27,1049.5416666666667,5270.513513513513,0.5487527052324307,0.5504869326817703,0.0017342274493395982,improved
5,28,1049.5416666666667,5462.1621621621625,0.4472840770390454,0.45578539377010463,0.00850131673105925,improved
5,29,1049.5416666666667,5653.810810810811,0.41218817006019304,0.413571521740783,0.0013833516805899504,improved
5,30,1049.5416666666667,5845.459459459459,0.4571381994365676,0.4551928736484771,-0.0019453257880904795,worse
5,31,1049.5416666666667,6037.108108108108,0.4397484787400938,0.44184325682815834,0.0020947780880645195,improved
5,32,1049.5416666666667,6228.756756756757,0.44032912772084615,0.4490342278186619,0.008705100097815777,improved
6,5,1240.25,1054.2432432432433,0.42093707428669686,0.43349331781226874,0.012556243525571886,improved
6,6,1240.25,1245.8918918918919,0.4203489719796487,0.42507030164685344,0.004721329667204732,improved
6,7,1240.25,1437.5405405405406,0.438136629074002,0.43547064983004413,-0.0026659792439578944,worse
6,8,1240.25,1629.1891891891892,0.5005233072299099,0.5004867020236544,-3.660520625548003e-05,unchanged
6,9,1240.25,1820.837837837838,0.4966233725120103,0.4969834255591356,0.0003600530471253305,improved
6,10,1240.25,2012.4864864864865,0.47682381278433406,0.47544479269682366,-0.0013790200875103964,worse
6,11,1240.25,2204.135135135135,0.31627644317463105,0.3112916209299276,-0.004984822244703424,worse
6,12,1240.25,2395.7837837837837,0.3338138241193346,0.3348385193630896,0.001024695243755036,improved
6,13,1240.25,2587.4324324324325,0.46872023070229707,0.4712233836100011,0.0025031529077040315,improved
6,14,1240.25,2779.0810810810813,0.43500689141069976,0.4360685388516143,0.001061647440914526,improved
6,15,1240.25,2970.7297297297296,0.3347618838882404,0.3301844722453414,-0.0045774116428989875,worse
6,16,1240.25,3162.3783783783783,0.3257741164023164,0.3220078364041601,-0.003766279998156319,worse
6,17,1240.25,3354.027027027027,0.3609215707793221,0.35578817236053706,-0.005133398418785018,worse
6,18,1240.25,3545.675675675676,0.30577174396624396,0.29269811626189823,-0.013073627704345725,worse
6,19,1240.25,3737.324324324324,0.3247070644762237,0.3196684495274523,-0.005038614948771392,worse
6,20,1240.25,3928.972972972973,0.28770932218054085,0.2737695393154504,-0.013939782865090455,worse
6,21,1240.25,4120.621621621622,0.33891227247339717,0.34032648390493186,0.0014142114315346954,improved
6,22,1240.25,4312.27027027027,0.3651083173396504,0.3610874497533529,-0.004020867586297494,worse
