grid_row,grid_col,center_y,center_x,reference_zncc,candidate_zncc,delta_zncc,classification
0,13,96.0,2587.4324324324325,0.41407437994022483,0.41407437994022483,0.0,unchanged
0,14,96.0,2779.0810810810813,0.347137230297514,0.347137230297514,0.0,unchanged
0,15,96.0,2970.7297297297296,0.42830384600055205,0.42830384600055205,0.0,unchanged
0,16,96.0,3162.3783783783783,0.37150780920134685,0.37150780920134685,0.0,unchanged
0,17,96.0,3354.027027027027,0.38066479562935285,0.38066479562935285,0.0,unchanged
0,18,96.0,3545.675675675676,0.5148179405706265,0.5148179405706265,0.0,unchanged
0,19,96.0,3737.324324324324,0.4043348024457124,0.4043348024457124,0.0,unchanged
0,20,96.0,3928.972972972973,0.3213318283945261,0.3213318283945261,0.0,unchanged
0,21,96.0,4120.621621621622,0.32362090174011915,0.32362090174011915,0.0,unchanged
0,22,96.0,4312.27027027027,0.36265373467948636,0.36265373467948636,0.0,unchanged
0,23,96.0,4503.918918918919,0.3994902268722648,0.3994902268722648,0.0,unchanged
0,24,96.0,4695.5675675675675,0.34192981332008854,0.34192981332008854,0.0,unchanged
1,11,286.7083333333333,2204.135135135135,0.44824833829207983,0.44824833829207983,0.0,unchanged
1,12,286.7083333333333,2395.7837837837837,0.4606456866339065,0.4606456866339065,0.0,unchanged
1,13,286.7083333333333,2587.4324324324325,0.3349884311195143,0.3349884311195143,0.0,unchanged
1,14,286.7083333333333,2779.0810810810813,0.4193475756064014,0.4193475756064014,0.0,unchanged
1,15,286.7083333333333,2970.7297297297296,0.4053503913030766,0.4053503913030766,0.0,unchanged
1,16,286.7083333333333,3162.3783783783783,0.4160029023160842,0.4160029023160842,0.0,unchanged
1,17,286.7083333333333,3354.027027027027,0.6191597795277155,0.6191597795277155,0.0,unchanged
1,18,286.7083333333333,3545.675675675676,0.5554300527967331,0.5554300527967331,0.0,unchanged
1,19,286.7083333333333,3737.324324324324,0.36787788380976516,0.36787788380976516,0.0,unchanged
1,20,286.7083333333333,3928.972972972973,0.3054179598245288,0.3054179598245288,0.0,unchanged
1,21,286.7083333333333,4120.621621621622,0.3265580375377274,0.3265580375377274,0.0,unchanged
1,22,286.7083333333333,4312.27027027027,0.4149934209137976,0.4149934209137976,0.0,unchanged
1,23,286.7083333333333,4503.918918918919,0.5472593005513695,0.5472593005513695,0.0,unchanged
1,24,286.7083333333333,4695.5675675675675,0.6687079994937687,0.6687079994937687,0.0,unchanged
1,25,286.7083333333333,4887.216216216216,0.3201092998056473,0.3201092998056473,0.0,unchanged
1,26,286.7083333333333,5078.864864864865,0.22969127817859003,0.22969127817859003,0.0,unchanged
1,27,286.7083333333333,5270.513513513513,0.3467469162884929,0.3467469162884929,0.0,unchanged
2,10,477.4166666666667,2012.4864864864865,0.4846098203707396,0.4846098203707396,0.0,unchanged
2,11,477.4166666666667,2204.135135135135,0.43009325411786814,0.43009325411786814,0.0,unchanged
2,12,477.4166666666667,2395.7837837837837,0.48323805499279276,0.48323805499279276,0.0,unchanged
2,13,477.4166666666667,2587.4324324324325,0.5942786476825664,0.5942786476825664,0.0,unchanged
2,14,477.4166666666667,2779.0810810810813,0.6138946709454386,0.6138946709454386,0.0,unchanged
2,15,477.4166666666667,2970.7297297297296,0.5962165406012683,0.5962165406012683,0.0,unchanged
2,16,477.4166666666667,3162.3783783783783,0.6400462792172539,0.6400462792172539,0.0,unchanged
2,17,477.4166666666667,3354.027027027027,0.6255017105572868,0.6255017105572868,0.0,unchanged
2,18,477.4166666666667,3545.675675675676,0.43726974283104075,0.43726974283104075,0.0,unchanged
2,19,477.4166666666667,3737.324324324324,0.314996613020447,0.314996613020447,0.0,unchanged
2,20,477.4166666666667,3928.972972972973,0.2711758119146239,0.2711758119146239,0.0,unchanged
2,21,477.4166666666667,4120.621621621622,0.3208767333730914,0.3208767333730914,0.0,unchanged
2,22,477.4166666666667,4312.27027027027,0.3789730990603349,0.3789730990603349,0.0,unchanged
2,23,477.4166666666667,4503.918918918919,0.4957472670106494,0.4957472670106494,0.0,unchanged
2,24,477.4166666666667,4695.5675675675675,0.5852720268244415,0.5852720268244415,0.0,unchanged
2,25,477.4166666666667,4887.216216216216,0.44947894690534573,0.44947894690534573,0.0,unchanged
2,26,477.4166666666667,5078.864864864865,0.4095732575994636,0.4095732575994636,0.0,unchanged
2,27,477.4166666666667,5270.513513513513,0.37128956590399376,0.37128956590399376,0.0,unchanged
2,28,477.4166666666667,5462.1621621621625,0.37634354956942945,0.37634354956942945,0.0,unchanged
2,29,477.4166666666667,5653.810810810811,0.350773422188967,0.350773422188967,0.0,unchanged
3,8,668.125,1629.1891891891892,0.3999664915898513,0.3999664915898513,0.0,unchanged
3,9,668.125,1820.837837837838,0.28599313884034794,0.28599313884034794,0.0,unchanged
3,10,668.125,2012.4864864864865,0.36801612991077925,0.36801612991077925,0.0,unchanged
